Year,Month,Day,Hour,Temperature,Precipitation,Snowfall
2010,1,1,0,44.92,0,0
2010,1,1,1,43.83,0,0
2010,1,1,2,42.22,0,0
2010,1,1,3,40.23,0,0
2010,1,1,4,39.38,0,0
2010,1,1,5,39.67,0,0
2010,1,1,6,40.87,0,0
2010,1,1,7,40.73,0,0
2010,1,1,8,40.62,0,0
2010,1,1,9,40.62,0,0
2010,1,1,10,41.04,0,0
2010,1,1,11,42.04,0,0
2010,1,1,12,43.03,0,0
2010,1,1,13,43.07,0,0
2010,1,1,14,41.54,0,0
2010,1,1,15,41.81,0,0
2010,1,1,16,40.77,0,0
2010,1,1,17,40.03,0.3,0
2010,1,1,18,39.63,0.7,0
2010,1,1,19,38.75,0.6,0
2010,1,1,20,38.48,0.6,0
2010,1,1,21,37.24,0.5,0.07
2010,1,1,22,36.32,0.4,0.07
2010,1,1,23,36.68,0.5,0
2010,1,2,0,34.41,0.4,0
2010,1,2,1,33.08,0.2,0
2010,1,2,2,32.86,0,0
2010,1,2,3,31.51,0.1,0
2010,1,2,4,30.79,0.1,0
2010,1,2,5,31.48,0.1,0
2010,1,2,6,29.55,0,0
2010,1,2,7,29.86,0,0
2010,1,2,8,29.34,0,0
2010,1,2,9,27.95,0,0
2010,1,2,10,27.66,0,0
2010,1,2,11,28.83,0,0
2010,1,2,12,29.89,0,0
2010,1,2,13,31.08,0,0
2010,1,2,14,32.41,0,0
2010,1,2,15,33.33,0,0
2010,1,2,16,33.6,0,0
2010,1,2,17,33.08,0,0
2010,1,2,18,31.46,0,0
2010,1,2,19,29.84,0,0
2010,1,2,20,28.83,0,0
2010,1,2,21,28.33,0,0
2010,1,2,22,27.45,0,0
2010,1,2,23,26.67,0,0
2010,1,3,0,27.07,0,0
2010,1,3,1,27.34,0,0
2010,1,3,2,27.63,0,0
2010,1,3,3,27.21,0,0
2010,1,3,4,26.87,0,0
2010,1,3,5,26.35,0,0
2010,1,3,6,27.48,0,0
2010,1,3,7,27.43,0,0
2010,1,3,8,27.32,0,0
2010,1,3,9,26.96,0,0
2010,1,3,10,27,0,0
2010,1,3,11,28.53,0,0
2010,1,3,12,30.78,0,0
2010,1,3,13,32.79,0,0
2010,1,3,14,33.98,0,0
2010,1,3,15,34.97,0,0
2010,1,3,16,35.44,0,0
2010,1,3,17,35.2,0,0
2010,1,3,18,34.86,0,0
2010,1,3,19,34.75,0,0
2010,1,3,20,33.84,0,0
2010,1,3,21,32.74,0,0
2010,1,3,22,31.87,0,0
2010,1,3,23,31.03,0,0
2010,1,4,0,30.25,0,0
2010,1,4,1,29.01,0,0
2010,1,4,2,27.57,0,0
2010,1,4,3,25.97,0,0
2010,1,4,4,25.43,0,0
2010,1,4,5,25.18,0,0
2010,1,4,6,22.71,0,0
2010,1,4,7,22.5,0,0
2010,1,4,8,22.3,0,0
2010,1,4,9,22.1,0,0
2010,1,4,10,22.35,0,0
2010,1,4,11,23.97,0,0
2010,1,4,12,26.01,0,0
2010,1,4,13,27.57,0,0
2010,1,4,14,29.53,0,0
2010,1,4,15,31.03,0,0
2010,1,4,16,31.53,0,0
2010,1,4,17,31.03,0,0
2010,1,4,18,29.19,0,0
2010,1,4,19,27.34,0,0
2010,1,4,20,25.88,0,0
2010,1,4,21,24.91,0,0
2010,1,4,22,24.15,0,0
2010,1,4,23,24.22,0,0
2010,1,5,0,24.73,0,0
2010,1,5,1,25.07,0,0
2010,1,5,2,25.2,0,0
2010,1,5,3,25.29,0,0
2010,1,5,4,25.16,0,0
2010,1,5,5,24.84,0,0
2010,1,5,6,19.2,0,0
2010,1,5,7,20.16,0,0
2010,1,5,8,19.63,0,0
2010,1,5,9,19.9,0,0
2010,1,5,10,21.09,0,0
2010,1,5,11,23.97,0,0
2010,1,5,12,27.34,0,0
2010,1,5,13,29.41,0,0
2010,1,5,14,28.98,0,0
2010,1,5,15,29.95,0,0
2010,1,5,16,30.78,0,0
2010,1,5,17,31.24,0,0
2010,1,5,18,30.81,0,0
2010,1,5,19,29.32,0,0
2010,1,5,20,28.94,0,0
2010,1,5,21,28.42,0,0
2010,1,5,22,27.45,0,0
2010,1,5,23,27.12,0,0
2010,1,6,0,27.03,0,0
2010,1,6,1,27.27,0,0
2010,1,6,2,28.04,0,0
2010,1,6,3,28.6,0,0.07
2010,1,6,4,28.47,0,0
2010,1,6,5,28.17,0,0
2010,1,6,6,24.57,0.2,0.07
2010,1,6,7,25.32,0.1,0
2010,1,6,8,25.41,0,0
2010,1,6,9,25.03,0,0
2010,1,6,10,25.29,0,0
2010,1,6,11,25.95,0,0
2010,1,6,12,28.06,0,0
2010,1,6,13,30.36,0,0
2010,1,6,14,31.82,0,0
2010,1,6,15,32.94,0,0
2010,1,6,16,34.11,0,0
2010,1,6,17,33.37,0,0
2010,1,6,18,32.16,0,0
2010,1,6,19,30.47,0,0
2010,1,6,20,27.77,0,0
2010,1,6,21,26.62,0,0
2010,1,6,22,26.42,0,0
2010,1,6,23,26.44,0,0
2010,1,7,0,28.49,0,0
2010,1,7,1,29.23,0.2,0
2010,1,7,2,30.27,0.2,0
2010,1,7,3,29.88,0,0
2010,1,7,4,27.88,0,0
2010,1,7,5,27.28,0,0
2010,1,7,6,28.45,0,0
2010,1,7,7,27.7,0,0
2010,1,7,8,27.01,0,0
2010,1,7,9,27.1,0,0
2010,1,7,10,27.09,0,0
2010,1,7,11,28.54,0,0
2010,1,7,12,32,0,0
2010,1,7,13,35.62,0,0
2010,1,7,14,38.16,0,0
2010,1,7,15,39.2,0,0
2010,1,7,16,39.65,0,0
2010,1,7,17,39.49,0,0
2010,1,7,18,37.04,0,0
2010,1,7,19,35.02,0,0
2010,1,7,20,33.85,0,0
2010,1,7,21,33.01,0,0
2010,1,7,22,32.61,0,0
2010,1,7,23,31.39,0,0
2010,1,8,0,29.97,0,0
2010,1,8,1,29.26,0,0
2010,1,8,2,29.07,0,0
2010,1,8,3,28.96,0,0
2010,1,8,4,29.14,0,0
2010,1,8,5,29.5,0,0
2010,1,8,6,28.96,0,0
2010,1,8,7,29.23,0,0
2010,1,8,8,28.83,0,0.21
2010,1,8,9,29.77,0.3,0.91
2010,1,8,10,30.7,0.4,0.56
2010,1,8,11,32.41,0.2,0.07
2010,1,8,12,33.94,0.1,0
2010,1,8,13,33.03,0,0.07
2010,1,8,14,34.02,0,0
2010,1,8,15,36.23,0,0
2010,1,8,16,37.24,0,0
2010,1,8,17,35.69,0,0
2010,1,8,18,33.76,0,0
2010,1,8,19,32.94,0,0
2010,1,8,20,31.53,0,0
2010,1,8,21,30.87,0,0
2010,1,8,22,28.51,0,0.14
2010,1,8,23,28.38,0,0.21
2010,1,9,0,27.95,0.2,0.77
2010,1,9,1,27.73,0.6,0.7
2010,1,9,2,27.61,0.6,0.49
2010,1,9,3,27.25,0.5,0.7
2010,1,9,4,26.8,0.5,0.91
2010,1,9,5,26.51,0.6,1.12
2010,1,9,6,27.19,0,0
2010,1,9,7,28.44,0,0
2010,1,9,8,28.18,0,0
2010,1,9,9,28.31,0,0
2010,1,9,10,29.37,0,0
2010,1,9,11,30.51,0,0
2010,1,9,12,30.99,0,0
2010,1,9,13,30.96,0,0
2010,1,9,14,31.17,0,0
2010,1,9,15,31.73,0,0
2010,1,9,16,31.89,0,0
2010,1,9,17,31.37,0,0
2010,1,9,18,29.64,0,0
2010,1,9,19,29.57,0,0.07
2010,1,9,20,29.08,0,0.07
2010,1,9,21,28.27,0,0.07
2010,1,9,22,28.06,0.1,0
2010,1,9,23,27.27,0.2,0
2010,1,10,0,26.67,0.4,0
2010,1,10,1,26.11,0.6,0.07
2010,1,10,2,25.9,0.7,0.14
2010,1,10,3,25.68,0.6,0.07
2010,1,10,4,25.12,0.5,0
2010,1,10,5,24.82,0.6,0
2010,1,10,6,26.29,0,0
2010,1,10,7,25.65,0,0
2010,1,10,8,25.52,0,0
2010,1,10,9,25.07,0,0
2010,1,10,10,24.75,0,0
2010,1,10,11,25.32,0,0
2010,1,10,12,26.38,0,0
2010,1,10,13,27.48,0,0
2010,1,10,14,28.71,0,0
2010,1,10,15,29.44,0,0
2010,1,10,16,29.66,0,0
2010,1,10,17,29.43,0,0
2010,1,10,18,27.21,0,0
2010,1,10,19,25.48,0,0
2010,1,10,20,23.23,0,0
2010,1,10,21,23.59,0,0
