id,address,business_name,categories,category01,city,coordinates,country,image_url,latitude,location_id,longitude,phone,rating,review_count,state,street_name,street_number,url,zip_code
739,1337 14th St NW,ChurchKey, * American (New) * Lounges,American (New),"Washington, DC","38.9084128488013,-77.0318697756855",US,https://s3-media1.fl.yelpcdn.com/bphoto/yBfvlN5GoMnzcBQXROFxjg/o.jpg,38.90841285,si_pqK5Ogi5MZdO-aN_gXw,-77.03186978,(202) 567-2576,4,1310,DC,14th st nw,1337,https://www.yelp.com/biz/churchkey-washington?adjust_creative=aJsm0qZM7l1f7g6leJfetg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aJsm0qZM7l1f7g6leJfetg,20005
719,1924 Pennsylvania Ave NW,Founding Farmers - DC, * American (Traditional) * Coffee & Tea * Breakfast & Brunch,American (Traditional),"Washington, DC","38.900313,-77.044533",US,https://s3-media2.fl.yelpcdn.com/bphoto/AWpidG8KMEEIRmqiKEnZHA/o.jpg,38.900313,VA8aPObRynlwR1TGzbzraQ,-77.044533,(202) 822-8783,4,10596,DC,pennsylvania ave nw,1924,https://www.yelp.com/biz/founding-farmers-dc-washington-4?adjust_creative=aJsm0qZM7l1f7g6leJfetg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aJsm0qZM7l1f7g6leJfetg,20006
720,675 15th St NW,Old Ebbitt Grill, * Bars * American (Traditional) * Breakfast & Brunch,Bars,"Washington, DC","38.898005,-77.033362",US,https://s3-media2.fl.yelpcdn.com/bphoto/KBCezpuAIUVaMH3wGcMCKQ/o.jpg,38.898005,iyBbcXtQSBfiwFQZwVBNaQ,-77.033362,(202) 347-4800,4,6394,DC,15th st nw,675,https://www.yelp.com/biz/old-ebbitt-grill-washington?adjust_creative=aJsm0qZM7l1f7g6leJfetg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aJsm0qZM7l1f7g6leJfetg,20005
721,1320 14th St NW,The Pig, * American (Traditional) * Cocktail Bars,American (Traditional),"Washington, DC","38.90793,-77.03229",US,https://s3-media3.fl.yelpcdn.com/bphoto/tfq_cx1hk2aebJZfGSu2HQ/o.jpg,38.90793,B-NQjTjaIPURVtpUQe0-3w,-77.03229,(202) 290-2821,4,1387,DC,14th st nw,1320,https://www.yelp.com/biz/the-pig-washington-2?adjust_creative=aJsm0qZM7l1f7g6leJfetg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aJsm0qZM7l1f7g6leJfetg,20005
722,2010 P St NW,Tiki Taco, * Tacos * Hawaiian * Shaved Ice,Tacos,"Washington, DC","38.90939,-77.04541",US,https://s3-media2.fl.yelpcdn.com/bphoto/zyWPCJ5p8dZonZFSJ7YJ4w/o.jpg,38.90939,HVDw0WV-tLIhF8mGYNq1vg,-77.04541,(202) 986-2121,4.5,31,DC,p st nw,2010,https://www.yelp.com/biz/tiki-taco-washington?adjust_creative=aJsm0qZM7l1f7g6leJfetg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aJsm0qZM7l1f7g6leJfetg,20036
723,1310 Wisconsin Ave NW,1310 Kitchen & Bar, * Breakfast & Brunch * American (New),Breakfast & Brunch,"Washington, DC","38.90721,-77.06356",US,https://s3-media2.fl.yelpcdn.com/bphoto/E9JBcFfhd45pKtsHBOl7FA/o.jpg,38.90721,vmwPSOZZDAmGELwrjjWYlg,-77.06356,(202) 333-8232,4,7,DC,wisconsin ave nw,1310,https://www.yelp.com/biz/1310-kitchen-and-bar-washington?adjust_creative=aJsm0qZM7l1f7g6leJfetg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aJsm0qZM7l1f7g6leJfetg,20007
724,2737 Sherman Ave NW,Napoli Pasta Bar, * Italian,Italian,"Washington, DC","38.92573,-77.02555",US,https://s3-media3.fl.yelpcdn.com/bphoto/tBMFbLH89ZyDrsOPT78xRg/o.jpg,38.92573,P5Z3SuQP612ff2Udmz9SbA,-77.02555,(202) 588-8752,4.5,22,DC,sherman ave nw,2737,https://www.yelp.com/biz/napoli-pasta-bar-washington-2?adjust_creative=aJsm0qZM7l1f7g6leJfetg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aJsm0qZM7l1f7g6leJfetg,20001
725,3000 K St NW,Farmers Fishers Bakers, * American (New) * Breakfast & Brunch * Vegetarian,American (New),"Washington, DC","38.9014030543526,-77.0599942827455",US,https://s3-media2.fl.yelpcdn.com/bphoto/sYT0ZP0ZRzlvpGYY0SV1Xg/o.jpg,38.90140305,sxNUpaApjh_54-l9RcJRDA,-77.05999428,(202) 298-8783,4,2688,DC,k st nw,3000,https://www.yelp.com/biz/farmers-fishers-bakers-washington?adjust_creative=aJsm0qZM7l1f7g6leJfetg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aJsm0qZM7l1f7g6leJfetg,20007
726,1201 24th St NW,Blue Duck Tavern, * American (New) * Breakfast & Brunch * Cocktail Bars,American (New),"Washington, DC","38.9055917636612,-77.0511932944776",US,https://s3-media2.fl.yelpcdn.com/bphoto/_U3d8g-JyZ3RgkhBvXCVgg/o.jpg,38.90559176,zeTqaVpvssznHt_1IxChXQ,-77.05119329,(202) 419-6755,4,1991,DC,24th st nw,1201,https://www.yelp.com/biz/blue-duck-tavern-washington?adjust_creative=aJsm0qZM7l1f7g6leJfetg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aJsm0qZM7l1f7g6leJfetg,20037
727,1601 14th St NW,Le Diplomate, * Brasseries * French * Cafes,Brasseries,"Washington, DC","38.911359,-77.031575",US,https://s3-media2.fl.yelpcdn.com/bphoto/2EljPz-cdiTQa6wTsIbI7Q/o.jpg,38.911359,j9qYRR8HCXm_GEnetijOGA,-77.031575,(202) 332-3333,4,2383,DC,14th st nw,1601,https://www.yelp.com/biz/le-diplomate-washington?adjust_creative=aJsm0qZM7l1f7g6leJfetg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=aJsm0qZM7l1f7g6leJfetg,20009
