PctPoorPersons_1980,PctPoorPersons_1990,PctPoorPersons_2000,PctPoorPersons_2011_15,PctPoorChildren_1990,PctPoorChildren_2000,PctPoorChildren_2011_15,PctPoorElderly_1990,PctPoorElderly_2000,PctPoorElderly_2011_15,PctUnemployed_1980,PctUnemployed_1990,PctUnemployed_2000,PctUnemployed_2011_15,Pct16andOverEmployed_1980,Pct16andOverEmployed_1990,Pct16andOverEmployed_2000,Pct16andOverEmployed_2011_15,Pct25andOverWoutHS_1980,Pct25andOverWoutHS_1990,Pct25andOverWoutHS_2000,Pct25andOverWoutHS_2011_15,PctHshldPhone_2000,PctHshldPhone_2011_15,PctHshldCar_2000,PctHshldCar_2011_15,AvgFamilyIncAdj_1980,AvgFamilyIncAdj_1990,AvgFamilyIncAdj_2000,AvgFamilyIncAdj_2011_15,PctChgAvgFamilyIncAdj_1980_1990,PctChgAvgFamilyIncAdj_1990_2000,PctChgAvgFamilyIncA_2000_2011_15,fs_client_2000,fs_client_2001,fs_client_2002,fs_client_2003,fs_client_2004,fs_client_2005,fs_client_2006,fs_client_2007,fs_client_2008,fs_client_2009,fs_client_2010,fs_client_2011,fs_client_2012,fs_client_2013,fs_client_2014,fs_client_2015,fs_client_2016,tanf_client_2000,tanf_client_2001,tanf_client_2002,tanf_client_2003,tanf_client_2004,tanf_client_2005,tanf_client_2006,tanf_client_2007,tanf_client_2008,tanf_client_2009,tanf_client_2010,tanf_client_2011,tanf_client_2012,tanf_client_2013,tanf_client_2014,tanf_client_2015,tanf_client_2016,Rate_crimes_pt1_violent_2000,Rate_crimes_pt1_violent_2001,Rate_crimes_pt1_violent_2002,Rate_crimes_pt1_violent_2003,Rate_crimes_pt1_violent_2004,Rate_crimes_pt1_violent_2005,Rate_crimes_pt1_violent_2006,Rate_crimes_pt1_violent_2007,Rate_crimes_pt1_violent_2008,Rate_crimes_pt1_violent_2009,Rate_crimes_pt1_violent_2010,Rate_crimes_pt1_violent_2011,Rate_crimes_pt1_violent_2012,Rate_crimes_pt1_violent_2013,Rate_crimes_pt1_violent_2014,Rate_crimes_pt1_violent_2015,Rate_crimes_pt1_violent_2016,Rate_crimes_pt1_property_2000,Rate_crimes_pt1_property_2001,Rate_crimes_pt1_property_2002,Rate_crimes_pt1_property_2003,Rate_crimes_pt1_property_2004,Rate_crimes_pt1_property_2005,Rate_crimes_pt1_property_2006,Rate_crimes_pt1_property_2007,Rate_crimes_pt1_property_2008,Rate_crimes_pt1_property_2009,Rate_crimes_pt1_property_2010,Rate_crimes_pt1_property_2011,Rate_crimes_pt1_property_2012,Rate_crimes_pt1_property_2013,Rate_crimes_pt1_property_2014,Rate_crimes_pt1_property_2015,Rate_crimes_pt1_property_2016,CENSUS_TRACT
s,s,5.2,3.6,s,2.6,0,9.6,2.2,2.6,s,s,1.9,4.2,s,s,72,74.0,s,s,1.9,0.0,100,98.0,79,73.0,s,s,363441,370028,s,s,1.8,5,8,6,5,6,6,6,10,9,13,16,27.0,25.0,24.0,24.0,18.0,0.0,0,s,s,s,s,0,0,s,s,s,s,s,s,s,s,s,0,12,11.0,11.0,11.0,8.6,8.2,10.0,8.7,6.0,6.8,8.6,6.5,4.5,4.5,3.7,3.7,4.9,89,86.0,71.0,83.0,78.0,87.0,64.0,69.0,73.0,79.0,65.0,77.0,71.0,79.0,79.0,76.0,70.0,100.0
s,s,71,78.0,s,i,i,23.0,100,0,s,s,3.9,7.3,s,s,52,34.0,s,s,14,0.0,100,100.0,67,100.0,s,s,i,i,s,s,i,s,s,s,s,s,s,s,7,s,s,s,11.0,10.0,8.0,8.0,8.0,0.0,s,0,s,s,s,s,0,s,0,0,s,s,s,s,s,s,0,1.3,1.1,0.9,0.7,1.7,1.2,2.4,1.0,0.0,0.3,0.8,0.8,0.3,0.3,0.5,0.5,0.3,22,20.0,15.0,10.0,18.0,17.0,13.0,11.0,8.4,8.3,12.0,17.0,12.0,9.4,8.7,7.9,1.3,200.99999999999997
s,s,24,23.0,s,6.5,2.2,13.0,2.3,4.2,s,s,0.5,4.4,s,s,68,53.0,s,s,1.4,1.7,100,97.0,81,79.0,s,s,291328,269670,s,s,-7.4,s,s,s,s,s,5,s,7,s,s,s,8.0,7.0,6.0,6.0,9.0,0.0,s,0,s,s,s,s,0,s,0,0,s,s,s,s,s,s,0,13,12.0,12.0,9.7,11.0,8.0,8.1,13.0,7.6,5.9,8.5,5.9,4.6,4.6,5.7,4.2,4.2,101,100.0,84.0,71.0,75.0,71.0,74.0,79.0,80.0,70.0,62.0,67.0,83.0,81.0,97.0,101.0,94.0,202.0
s,s,16,15.0,s,12,0,5.0,0,8.5,s,s,2.1,3.2,s,s,73,76.0,s,s,1.9,3.7,100,96.0,88,83.0,s,s,166990,208149,s,s,25,18,19,22,18,15,21,19,20,23,38,43,42.0,57.0,44.0,58.0,54.0,0.0,7,7,6,s,s,8,s,s,6,10,8,6,s,s,s,s,0,1.7,2.2,1.5,2.0,1.7,2.0,1.5,1.8,1.8,1.9,1.8,1.9,1.3,1.0,1.1,1.0,1.4,19,25.0,15.0,18.0,14.0,15.0,16.0,23.0,26.0,21.0,24.0,15.0,17.0,18.0,24.0,23.0,20.0,300.0
s,s,3,9.9,s,0,6,7.8,0,2.4,s,s,0.4,2.2,s,s,64,61.0,s,s,0.9,2.4,100,100.0,94,88.0,s,s,463490,446630,s,s,-3.6,10,6,8,6,6,9,12,11,6,7,s,10.0,7.0,11.0,7.0,8.0,0.0,0,0,0,0,0,0,s,s,0,0,0,s,s,s,s,s,0,4,6.0,2.7,3.4,3.4,4.1,0.7,7.5,4.8,2.7,5.5,4.8,1.4,0.0,0.7,4.1,1.4,64,56.0,32.0,37.0,36.0,44.0,48.0,54.0,49.0,65.0,59.0,68.0,38.0,25.0,43.0,40.0,36.0,400.0
s,s,6,6.4,s,0,17,14.0,3.4,0,s,s,3.6,2.3,s,s,78,82.0,s,s,5.5,1.7,100,100.0,69,62.0,s,s,167285,226260,s,s,35,s,s,6,8,11,7,6,14,9,6,s,9.0,5.0,7.0,6.0,10.0,0.0,0,0,0,s,0,0,s,s,s,0,0,0,0,0,0,0,0,2.9,8.1,4.1,3.0,3.0,4.2,2.6,3.4,2.5,3.3,2.4,3.9,3.3,2.7,1.8,1.2,1.5,45,39.0,40.0,39.0,28.0,27.0,17.0,19.0,23.0,21.0,15.0,28.0,24.0,19.0,19.0,17.0,29.0,501.0
s,s,4.3,2.1,s,0,0,1.6,6.3,2.3,s,s,1.3,2.0,s,s,80,79.0,s,s,4.7,2.8,100,99.0,78,74.0,s,s,217361,277048,s,s,27,7,5,5,8,10,10,9,8,7,16,23,16.0,16.0,18.0,24.0,26.0,0.0,s,s,s,5,s,s,0,0,0,0,s,s,s,s,s,0,0,3.6,4.6,3.2,1.6,4.2,2.9,4.5,1.6,2.8,1.6,2.5,1.3,2.5,1.6,3.1,0.9,0.9,55,36.0,35.0,40.0,32.0,24.0,29.0,21.0,28.0,34.0,21.0,18.0,27.0,20.0,19.0,26.0,23.0,501.99999999999994
s,s,4.8,8.9,s,0.9,7.3,6.3,4.8,0,s,s,0.9,3.0,s,s,63,71.0,s,s,13,2.1,99,99.0,81,81.0,s,s,294290,300585,s,s,2.1,21,22,21,14,17,20,17,10,13,10,20,27.0,32.0,36.0,41.0,37.0,0.0,5,8,9,6,5,s,s,0,0,s,6,s,0,s,s,0,0,2.6,3.0,2.7,2.7,1.3,1.5,1.5,1.3,1.7,2.4,1.8,3.1,2.0,1.8,1.3,0.4,1.8,32,33.0,29.0,36.0,26.0,22.0,21.0,26.0,32.0,34.0,33.0,31.0,33.0,24.0,25.0,34.0,26.0,600.0
s,s,5.8,9.9,s,0,9.2,2.6,4.1,5.8,s,s,3.9,3.9,s,s,64,64.0,s,s,4,3.4,100,96.0,76,79.0,s,s,180070,169323,s,s,-6,18,12,17,14,16,15,15,11,16,27,39,52.0,65.0,71.0,68.0,70.0,0.0,5,s,s,s,5,s,s,s,5,5,0,s,8,5,0,0,0,1.6,0.5,2.0,0.4,0.7,0.7,0.4,0.4,0.2,0.7,0.2,0.2,0.6,0.2,0.2,0.4,0.9,21,21.0,16.0,15.0,17.0,19.0,16.0,10.0,11.0,9.6,13.0,9.3,17.0,17.0,14.0,10.0,8.7,701.0
s,s,19,12.0,s,24,0,1.9,14,0,s,s,2.9,4.0,s,s,74,79.0,s,s,4.4,1.0,100,93.0,67,69.0,s,s,91471,121984,s,s,33,23,20,18,16,24,22,28,24,24,31,35,35.0,42.0,44.0,47.0,50.0,0.0,7,7,s,s,s,s,7,7,5,7,s,s,0,s,s,6,0,1.8,1.8,0.9,0.9,0.6,0.0,0.3,0.0,0.6,1.2,0.3,0.9,0.3,0.3,0.9,0.0,0.3,9.8,13.0,10.0,11.0,12.0,11.0,11.0,3.9,7.8,10.0,13.0,7.4,9.2,5.4,9.5,15.0,10.0,702.0
