CENSUS_TRACT,WARD,LATITUDE,start_month,start_day,start_hour,longitude2,ucr-rank
7708.0,7,38.8863951858834,10,4,16,76.9555211849874,8
100.0,2,38.9025854892833,10,4,17,77.0596144500982,6
8904.0,5,38.900734571025,10,4,19,76.98192360736991,6
9601.0,7,38.9106734958807,10,13,22,76.9375308993386,4
10600.0,6,38.9050238607243,10,22,16,76.9955382751455,4
3200.0,1,38.9291102614069,10,22,20,77.02140506110929,7
7807.0,7,38.903476129183,10,22,21,76.9229533236416,6
10700.0,2,38.90847627400971,10,23,1,77.04008829124349,7
1804.0,4,38.9682669406129,10,22,9,77.03155981083091,7
7000.0,6,38.8804940920931,11,1,8,76.9961852112923,7
2502.0,4,38.938144962308996,11,1,11,77.0245912572209,6
5001.0,2,38.9115154806729,11,10,11,77.0285253543691,7
4902.0,2,38.9049039473617,11,10,15,77.0259863334558,6
5800.0,2,38.9003290598271,11,10,19,77.0189293800947,6
5201.0,2,38.9086939445815,11,10,17,77.0355457515761,7
7000.0,6,38.8819894392387,11,20,12,76.99498650191829,5
8200.0,6,38.8921148940947,11,19,16,76.99593099770121,6
4400.0,1,38.9162809962147,11,29,19,77.0280890890924,7
7000.0,6,38.8802686382935,11,29,18,76.99154064632171,7
2400.0,4,38.9398119348623,11,22,11,77.0224117869945,6
4400.0,1,38.9186407998006,11,29,19,77.0296236690368,7
10700.0,2,38.9075652318816,12,10,16,77.043442839486,7
7403.0,8,38.8497272260233,12,10,19,76.9726743837028,3
3000.0,1,38.9305942609669,12,10,21,77.03181993176909,6
10500.0,6,38.8832408196942,12,19,18,77.01444143285751,4
11100.0,5,38.9165515256135,12,17,21,76.9730984838471,6
5800.0,2,38.8998059546339,12,19,20,77.02243380246341,7
7406.0,8,38.85697301576,12,20,5,76.99339832742021,7
1600.0,4,38.9874818030271,12,19,19,77.03035637580841,7
3500.0,1,38.9193089155695,10,31,17,77.0229588467108,6
1901.0,4,38.9655388166208,10,31,18,77.0259738260665,7
5600.0,2,38.903300624313296,10,31,19,77.0523634775775,4
4202.0,2,38.9122315569804,10,31,18,77.0434341516021,7
3500.0,1,38.9193089155695,11,9,22,77.0229588467108,7
9905.0,7,38.8845508896406,11,10,16,76.92502533457541,6
9301.0,5,38.933696793139895,11,20,1,76.98761286944979,3
501.0,3,38.92419116296679,11,20,11,77.0519060012756,6
5800.0,2,38.895464542665295,11,20,10,77.01893961678779,6
5800.0,2,38.899814108038,11,20,9,77.0265147748045,6
3800.0,1,38.9238622318742,11,20,15,77.0408811201947,6
1001.0,3,38.9599074542529,11,20,17,77.0852995777749,6
7809.0,7,38.902837649092206,11,28,22,76.9246602542827,2
5800.0,2,38.8983100548369,12,9,17,77.0249579465415,7
4400.0,1,38.9169934322698,12,9,23,77.024641618561,6
10700.0,2,38.9031258426299,12,10,2,77.0385173812235,7
9602.0,7,38.9039670503268,12,17,16,76.9472094662743,8
8804.0,5,38.9084996658812,12,20,12,76.9812644541276,7
7304.0,8,38.8448288811993,12,18,15,76.98509404679959,2
5001.0,2,38.911866232319205,12,29,21,77.03078539649309,7
7304.0,8,38.8435590773059,12,29,9,76.98851547837259,2
10100.0,2,38.9046855208129,12,29,23,77.03457532218191,7
7707.0,7,38.8764376985559,12,29,20,76.93047337093991,7
7808.0,7,38.8936224672729,12,30,6,76.91228980875279,5
202.0,2,38.905849215541004,10,22,0,77.07090420700492,6
9504.0,5,38.9361652327176,10,22,12,76.9892848764587,6
3900.0,1,38.9243031095765,3,18,3,77.0423690168037,7
4701.0,6,38.903113823008205,10,31,0,77.0090730838268,7
3000.0,1,38.9295130123787,10,31,8,77.0327305534988,6
7601.0,8,38.868781351012295,11,10,0,76.9790163438475,3
4701.0,6,38.90312206399229,11,10,12,77.01617476254809,7
10200.0,6,38.887563862297704,11,19,14,77.0209200230919,7
2502.0,4,38.939799612981204,11,28,21,77.03573427955979,7
4400.0,1,38.9180655126649,11,29,9,77.0242153377922,6
7603.0,7,38.860310329559105,11,29,11,76.96583791471281,6
10700.0,2,38.9031264759502,11,18,14,77.03654597402009,6
9400.0,5,38.937235446241495,11,29,15,76.9769892437889,7
8804.0,5,38.9062022312593,11,29,15,76.97944344469408,7
7604.0,7,38.871453697139,11,29,5,76.96570582092771,5
801.0,3,38.9341829904713,12,8,23,77.08080525091809,5
9803.0,8,38.8364968682616,12,19,8,77.0058971850065,6
10700.0,2,38.9075652318816,12,16,22,77.043442839486,6
1002.0,3,38.944364469284004,12,19,16,77.0777022411357,6
7502.0,8,38.8557348206858,12,30,7,76.96858211312909,5
100.0,2,38.9051786520086,12,16,10,77.06200312706609,6
4300.0,2,38.914828630189,7,12,16,77.03552574792499,6
3000.0,1,38.928135548053206,6,27,11,77.0297083427594,7
6600.0,6,38.8892412928523,7,16,14,76.9995158889145,6
7603.0,7,38.856841083762,10,29,16,76.96256754773259,8
7804.0,7,38.8928957476497,10,31,2,76.9300193038345,7
9807.0,8,38.832559973489204,10,31,9,77.0090065320559,6
9102.0,5,38.9207506163314,10,30,22,76.9790010522379,8
3400.0,1,38.9258310980188,10,31,12,77.0221421484118,7
6700.0,6,38.8890428435106,10,21,9,76.99211592709871,7
501.0,3,38.92419116296679,11,9,10,77.0519060012756,6
7100.0,6,38.8803584438714,11,9,14,76.9883136301951,7
8302.0,6,38.8951056347622,11,20,0,76.99496252535499,6
7304.0,8,38.843676012109206,11,20,2,76.9868567094777,6
7903.0,7,38.897912712232596,11,28,16,76.97083452502059,8
8402.0,6,38.900194976088,11,28,17,76.9892787513323,4
3100.0,1,38.9354966096486,12,9,10,77.0241751222164,7
6202.0,6,38.8949432242102,12,9,10,77.0092795374421,7
10300.0,4,38.9820780539146,12,9,10,77.0254143230482,7
7407.0,8,38.859909718397,12,7,17,76.9926721875851,6
5500.0,2,38.905255441441795,12,27,22,77.05235338358159,6
8100.0,6,38.8911867962575,12,28,22,76.9915393517345,6
10200.0,6,38.877862371248,12,29,16,77.0176441877483,6
4801.0,6,38.90910319333229,12,29,16,77.0189317087002,5
7406.0,8,38.8541710084736,12,29,17,76.98843312547659,5
4100.0,2,38.9158233479889,12,27,19,77.0497897834552,7
600.0,3,38.939066513411795,7,11,15,77.0646855360909,6
4202.0,2,38.9137179324664,11,9,15,77.04343505680079,7
4801.0,6,38.9147692774917,11,9,16,77.01990178150851,7
8803.0,5,38.9153911752417,11,19,12,76.9820928527536,4
6801.0,6,38.8886725204527,11,19,13,76.9829409833594,3
4802.0,6,38.904905303677,11,28,11,77.0189305945321,5
9603.0,7,38.891389210102204,11,29,0,76.9426195786478,6
9907.0,7,38.8834125677314,11,29,1,76.9345811836555,4
3500.0,1,38.9194892835529,12,8,14,77.0219095525046,7
10800.0,2,38.90069846629,12,8,14,77.0494794905561,4
9204.0,5,38.9245089657369,12,18,17,77.0013031335188,4
7601.0,8,38.8717891703808,12,18,18,76.974094866873,4
9301.0,5,38.9335799079089,12,18,17,76.9899311478292,7
6600.0,6,38.8881332625379,12,18,19,76.9995158964328,4
4902.0,2,38.904904369229,12,18,23,77.02401487701941,7
202.0,2,38.904165588716005,6,25,9,77.06934613605941,6
8302.0,6,38.898123514408795,6,27,12,76.99731400172459,6
1002.0,3,38.9426805302301,7,1,13,77.0767775978802,7
8402.0,6,38.899546374268105,6,20,21,76.9892788488133,7
8302.0,6,38.8967182098415,7,7,2,76.99731405463679,6
3400.0,1,38.9274166392539,11,19,13,77.02172746623059,7
202.0,2,38.905592592519604,11,19,15,77.0628335820436,6
4701.0,6,38.903725423900795,11,28,10,77.0175583547787,6
3000.0,1,38.9286306144349,11,28,12,77.0312078159151,7
6202.0,6,38.8947903558699,11,28,12,77.0047031592034,2
6600.0,6,38.8892321773691,11,26,10,76.9949744665137,6
6400.0,6,38.875539117555704,11,28,0,77.00991084740541,7
7809.0,7,38.9021344596922,12,8,3,76.9391984871884,8
10800.0,2,38.9004483536036,12,8,20,77.04418784260291,6
,7,38.879030084819604,12,8,18,76.9271401753672,6
6801.0,6,38.8886720344169,12,9,0,76.97988649736301,6
7504.0,8,38.861728182803795,12,19,22,76.9814956499286,8
2701.0,1,38.932952794909795,12,18,4,77.03736860818991,4
10700.0,2,38.9051977671426,12,17,2,77.0385069710146,6
9604.0,7,38.889954921166,12,18,9,76.95943799985349,6
202.0,2,38.9116356821719,12,17,18,77.06558306403159,5
7200.0,6,38.877521268952705,12,18,9,77.00520910169429,7
100.0,2,38.9051883564576,12,27,17,77.0606772965942,6
7707.0,7,38.8775808838453,12,28,15,76.92900863614679,6
8804.0,5,38.9077344824764,6,15,7,76.9848964297029,6
8402.0,6,38.89890678073311,6,14,9,76.9892789449387,6
8002.0,6,38.893573481290204,6,11,19,76.98599450739741,7
8701.0,5,38.9111043182981,4,1,13,77.0078058016532,6
4600.0,5,38.9072302777316,9,18,23,77.0129128848357,4
3200.0,1,38.930020064574705,12,7,10,77.02160139601959,6
10300.0,4,38.9747090208796,12,7,23,77.02678498816691,8
5800.0,2,38.8998059546339,12,8,8,77.02243380246341,7
9301.0,5,38.934012402723,12,18,13,76.9911190570487,7
4801.0,6,38.9103822150478,12,17,21,77.01991208724431,7
9904.0,7,38.8857997045854,12,28,1,76.93442915820859,7
5001.0,2,38.9111191390187,12,28,13,77.02842142593909,7
8410.0,6,38.900753678939,12,28,13,76.9915266887281,7
9604.0,7,38.896720012270606,12,27,9,76.9588808254282,5
11000.0,6,38.872970957130896,6,13,0,77.0166519292613,6
3800.0,1,38.9236732693973,6,19,12,77.0402698147515,6
4400.0,1,38.9162809962147,6,12,9,77.0280890890924,6
2400.0,4,38.9457214843951,9,18,23,77.02181379433429,3
8301.0,6,38.8995558735774,9,19,7,76.9995158189153,6
4802.0,6,38.9078965567547,9,19,8,77.0156800780809,8
2502.0,4,38.939728838399894,9,16,15,77.0312242085723,6
3600.0,1,38.9224244836165,9,17,22,77.0288756726106,7
3400.0,1,38.9268761532938,9,19,12,77.02165810631459,7
2502.0,4,38.939205944057996,9,13,11,77.03273500339141,6
8002.0,6,38.8913036267386,9,11,18,76.98831183732791,6
5600.0,2,38.900129683631704,9,17,23,77.0523611499308,6
7304.0,8,38.8465309715677,9,27,16,76.981557186925,6
7808.0,7,38.8944717822655,9,26,21,76.91572390132879,7
600.0,3,38.939066513411795,11,1,9,77.0646855360909,6
202.0,2,38.9086097622719,12,17,15,77.06398919869591,6
2702.0,1,38.9298001684556,12,17,10,77.03647891408559,7
7000.0,6,38.8832235876387,12,17,18,76.994974889719,6
5900.0,2,38.9005185027319,12,17,20,77.01720018883701,6
8200.0,6,38.8909348608365,6,2,13,77.00131404699579,6
6700.0,6,38.8854125014326,6,7,13,76.99264651670191,6
6202.0,2,38.8948772772331,6,4,7,77.0275849849334,6
7000.0,6,38.881998545019606,6,6,11,76.9984556118888,6
5800.0,2,38.898309157411795,9,18,14,77.02885438321908,6
4600.0,5,38.911617421221706,9,18,14,77.01216422452379,4
