dt,dt_iso,city_id,city_name,lat,lon,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,rain_24h,rain_today,snow_1h,snow_3h,snow_24h,snow_today,clouds_all,weather_id,weather_main,weather_description,weather_icon
1464739200,2016-06-01 00:00:00 +0000 UTC,4138106,,,,298.5,295.15,302.15,1015,,,65,1,19,9.65,,,,,,,,1,502,Rain,heavy intensity rain,10n
1464742800,2016-06-01 01:00:00 +0000 UTC,4138106,,,,295.98,293.15,300.15,1015,,,83,1,19,,,,,,,,,1,800,Clear,sky is clear,01n
1464746400,2016-06-01 02:00:00 +0000 UTC,4138106,,,,294.81,292.04,300.15,1016,,,83,1,113,,,,,,,,,1,800,Clear,sky is clear,01n
1464750000,2016-06-01 03:00:00 +0000 UTC,4138106,,,,293.9,290.93,299.15,1016,,,88,1,113,0.25,,,,,,,,1,500,Rain,light rain,10n
1464753600,2016-06-01 04:00:00 +0000 UTC,4138106,,,,292.92,290.15,297.15,1016,,,93,1,113,,,,,,,,,1,800,Clear,sky is clear,01n
1464757200,2016-06-01 05:00:00 +0000 UTC,4138106,,,,292.29,289.15,297.15,1015,,,100,1,201,,,,,,,,,1,800,Clear,sky is clear,01n
1464760800,2016-06-01 06:00:00 +0000 UTC,4138106,,,,291.95,289.15,296.15,1016,,,93,1,201,,,,,,,,,1,701,Mist,mist,50n
1464764400,2016-06-01 07:00:00 +0000 UTC,4138106,,,,291.52,289.15,296.15,1016,,,93,1,201,,,,,,,,,1,701,Mist,mist,50n
1464768000,2016-06-01 08:00:00 +0000 UTC,4138106,,,,291.22,288.15,295.15,1016,,,100,0,234,,,,,,,,,1,701,Mist,mist,50n
1464771600,2016-06-01 09:00:00 +0000 UTC,4138106,,,,290.78,288.15,295.15,1016,,,100,0,234,,,,,,,,,1,701,Mist,mist,50n
1464775200,2016-06-01 10:00:00 +0000 UTC,4138106,,,,290.69,288.15,295.15,1017,,,93,1,170,,,,,,,,,1,701,Mist,mist,50d
1464775200,2016-06-01 10:00:00 +0000 UTC,4138106,,,,290.69,288.15,295.15,1017,,,93,1,170,,,,,,,,,1,741,Fog,fog,50d
1464778800,2016-06-01 11:00:00 +0000 UTC,4138106,,,,291.97,289.15,296.15,1017,,,93,1,196,,,,,,,,,1,701,Mist,mist,50d
1464778800,2016-06-01 11:00:00 +0000 UTC,4138106,,,,291.97,289.15,296.15,1017,,,93,1,196,,,,,,,,,1,741,Fog,fog,50d
1464782400,2016-06-01 12:00:00 +0000 UTC,4138106,,,,295.04,292.15,297.59,1018,,,83,1,196,,,,,,,,,1,701,Mist,mist,50d
1464782400,2016-06-01 12:00:00 +0000 UTC,4138106,,,,295.04,292.15,297.59,1018,,,83,1,196,,,,,,,,,1,721,Haze,haze,50d
1464782400,2016-06-01 12:00:00 +0000 UTC,4138106,,,,295.04,292.15,297.59,1018,,,83,1,196,,,,,,,,,1,741,Fog,fog,50d
1464786000,2016-06-01 13:00:00 +0000 UTC,4138106,,,,298.22,295.15,302.04,1018,,,73,2,74,,,,,,,,,1,721,Haze,haze,50d
1464786000,2016-06-01 13:00:00 +0000 UTC,4138106,,,,298.22,295.15,302.04,1018,,,73,2,74,,,,,,,,,1,741,Fog,fog,50d
1464793200,2016-06-01 15:00:00 +0000 UTC,4138106,,,,301.15,298.15,304.26,1018,,,51,2,110,,,,,,,,,1,800,Clear,sky is clear,01d
1464793200,2016-06-01 15:00:00 +0000 UTC,4138106,,,,301.47,300.15,304.26,1018,,,51,2,110,,,,,,,,,1,800,Clear,sky is clear,01d
1464796800,2016-06-01 16:00:00 +0000 UTC,4138106,,,,302.32,301.15,303.71,1018,,,45,2,100,,,,,,,,,75,803,Clouds,broken clouds,04d
1464800400,2016-06-01 17:00:00 +0000 UTC,4138106,,,,302.68,301.15,305.15,1018,,,48,3,90,,,,,,,,,40,802,Clouds,scattered clouds,03d
1464807600,2016-06-01 19:00:00 +0000 UTC,4138106,,,,303.13,301.15,306.25,1017,,,42,3,120,620.4,,,,,,,,40,503,Rain,very heavy rain,10d
1464807600,2016-06-01 19:00:00 +0000 UTC,4138106,,,,303.06,301.15,306.15,1017,,,42,3,120,620.4,,,,,,,,40,503,Rain,very heavy rain,10d
1464811200,2016-06-01 20:00:00 +0000 UTC,4138106,,,,302.99,301.15,305.15,1017,,,48,4,130,,,,,,,,,75,803,Clouds,broken clouds,04d
1464814800,2016-06-01 21:00:00 +0000 UTC,4138106,,,,302.41,300.15,304.15,1017,,,42,3,140,,,,,,,,,1,800,Clear,sky is clear,01d
1464822000,2016-06-01 23:00:00 +0000 UTC,4138106,,,,300.34,298.71,303.15,1019,,,50,3,170,,,,,,,,,1,800,Clear,sky is clear,01d
1464822000,2016-06-01 23:00:00 +0000 UTC,4138106,,,,300.03,298.15,303.15,1017,,,51,2,130,,,,,,,,,1,800,Clear,sky is clear,01d
1464825600,2016-06-02 00:00:00 +0000 UTC,4138106,,,,298.73,296.48,300.15,1017,,,47,2,130,,,,,,,,,1,800,Clear,sky is clear,01n
1464829200,2016-06-02 01:00:00 +0000 UTC,4138106,,,,296.48,294.15,299.15,1017,,,64,2,129,,,,,,,,,1,800,Clear,sky is clear,01n
1464832800,2016-06-02 02:00:00 +0000 UTC,4138106,,,,295.23,293.15,298.15,1018,,,77,2,126,,,,,,,,,40,802,Clouds,scattered clouds,03n
1464836400,2016-06-02 03:00:00 +0000 UTC,4138106,,,,294.02,291.15,297.15,1018,,,82,2,126,,,,,,,,,90,804,Clouds,overcast clouds,04n
1464840000,2016-06-02 04:00:00 +0000 UTC,4138106,,,,293.29,290.93,296.15,1019,,,82,2,126,,,,,,,,,1,800,Clear,sky is clear,01n
1464843600,2016-06-02 05:00:00 +0000 UTC,4138106,,,,292.77,290.15,296.15,1019,,,93,2,101,,,,,,,,,1,800,Clear,sky is clear,01n
1464847200,2016-06-02 06:00:00 +0000 UTC,4138106,,,,292.39,290.15,295.15,1019,,,93,2,101,,,,,,,,,75,701,Mist,mist,50n
1464850800,2016-06-02 07:00:00 +0000 UTC,4138106,,,,291.69,289.82,294.15,1018,,,93,2,101,,,,,,,,,1,741,Fog,fog,50n
1464854400,2016-06-02 08:00:00 +0000 UTC,4138106,,,,291.5,289.15,294.15,1019,,,100,2,80,,,,,,,,,1,741,Fog,fog,50n
1464858000,2016-06-02 09:00:00 +0000 UTC,4138106,,,,291.56,289.15,294.15,1018,,,83,1,130,,,,,,,,,40,741,Fog,fog,50n
1464861600,2016-06-02 10:00:00 +0000 UTC,4138106,,,,291.48,289.15,293.15,1019,,,94,2,160,,,,,,,,,90,701,Mist,mist,50d
1464865200,2016-06-02 11:00:00 +0000 UTC,4138106,,,,292.08,291.15,293.15,1020,,,88,2,130,,,,,,,,,90,701,Mist,mist,50d
1464868800,2016-06-02 12:00:00 +0000 UTC,4138106,,,,293.07,292.04,294.15,1020,,,83,4,70,,,,,,,,,90,701,Mist,mist,50d
1464872400,2016-06-02 13:00:00 +0000 UTC,4138106,,,,293.77,292.15,295.15,1020,,,83,2,70,,,,,,,,,90,701,Mist,mist,50d
1464879600,2016-06-02 15:00:00 +0000 UTC,4138106,,,,295.16,294.15,296.75,1020,,,78,2,88,,,,,,,,,90,804,Clouds,overcast clouds,04d
1464879600,2016-06-02 15:00:00 +0000 UTC,4138106,,,,295.02,294.15,296.48,1019,,,78,1,20,,,,,,,,,90,804,Clouds,overcast clouds,04d
